"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFEADKAH_02040",333.440139289793,-2.2085047687643,0.128702464583295,-17.1597706066847,5.31230437616811e-66,2.42595233178344e-65
"EFEADKAH_01493",32058.6824305649,-2.20256022150393,0.0599788712593717,-36.7222686132124,3.22257749512891e-295,5.51866396040826e-294
"EFEADKAH_02146",7911.77502352492,-2.19359541349264,0.0553774575916555,-39.6117031891905,0,0
"EFEADKAH_01168",2919.70469271092,-2.18998877614867,0.0671162115517969,-32.6298032250904,1.5501364323148e-233,2.04917158201615e-232
"EFEADKAH_02491",85.5235986209667,-2.18252227214098,0.231157299608338,-9.44171901920876,3.667130276196e-21,9.14204355041748e-21
"EFEADKAH_02013",972.516707488973,-2.16836633791149,0.0858594053466693,-25.2548492405276,1.00183831398945e-140,8.03069329352185e-140
"EFEADKAH_00399",39.9212928317748,-2.16624882166361,0.33040158396649,-6.5564117328303,5.51179187267146e-11,1.08154561876509e-10
"EFEADKAH_00154",3988.97460126979,-2.16007905006883,0.0624852059400623,-34.569447560769,7.27428383210608e-262,1.09078067014765e-260
"EFEADKAH_00125",33645.0072023654,-2.15952761702536,0.0592101366925037,-36.4722619750136,3.05329565969994e-291,5.1125739546309e-290
"EFEADKAH_01298",1976.06250943099,-2.15825799027902,0.0747477731077164,-28.8738767798318,2.54153277236473e-183,2.55339325863577e-182
"EFEADKAH_01491",17920.8126285462,-2.1581183683528,0.0648458211538679,-33.2807624292698,7.3296807875427e-243,1.00875150199332e-241
"EFEADKAH_02110",13098.1121469909,-2.1569796061343,0.0625956443238388,-34.4589408645617,3.30825605684298e-260,4.91186391887918e-259
"EFEADKAH_01432",737.820980429081,-2.15664526016603,0.125758395610543,-17.1491155695471,6.38163230045241e-66,2.90986985681748e-65
"EFEADKAH_00113",1160.65625626376,-2.14668993235519,0.090167421631718,-23.8078220881504,2.77147108723107e-125,2.02256994114151e-124
"EFEADKAH_00333",336.033789437665,-2.13916735283002,0.141711923599235,-15.0951825259224,1.74205169786477e-51,6.81004386169187e-51
"EFEADKAH_00111",756.593518314232,-2.13662910163939,0.0963617241096554,-22.1730061534391,6.25876871305629e-109,4.12777437661962e-108
"EFEADKAH_00655",2151.86861464391,-2.13609765281237,0.0860380599771041,-24.8273572577161,4.54208033883188e-136,3.54658811949205e-135
"EFEADKAH_01490",32810.5087559106,-2.12259869732907,0.0859610668933377,-24.6925587831853,1.2856264690538e-134,9.93558507109785e-134
